customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,age
1,Laraine,Medendorp,F,93,1953-10-12,Executive Secretary,Health,Mass Customer,N,Yes,11.0,68.6
2,Eli,Bockman,M,81,1980-12-16,Administrative Officer,Financial Services,Mass Customer,N,Yes,16.0,41.4
3,Arlin,Dearle,M,61,1954-01-20,Recruiting Manager,Property,Mass Customer,N,Yes,15.0,68.3
4,Talbot,,M,33,1961-10-03,,IT,Mass Customer,N,No,7.0,60.6
5,Sheila-kathryn,Calton,F,56,1977-05-13,Senior Editor,,Affluent Customer,N,Yes,8.0,45.0
6,Curr,Duckhouse,M,35,1966-09-16,,Retail,High Net Worth,N,Yes,13.0,55.6
7,Fina,Merali,F,6,1976-02-23,,Financial Services,Affluent Customer,N,Yes,11.0,46.2
8,Rod,Inder,M,31,1962-03-30,Media Manager I,,Mass Customer,N,No,7.0,60.1
9,Mala,Lind,F,97,1973-03-10,Business Systems Development Analyst,Argiculture,Affluent Customer,N,Yes,8.0,49.1
10,Fiorenze,Birdall,F,49,1988-10-11,Senior Quality Engineer,Financial Services,Mass Customer,N,Yes,20.0,33.5
11,Uriah,Bisatt,M,99,1954-04-30,,Property,Mass Customer,N,No,9.0,68.0
12,Sawyere,Flattman,M,58,1994-07-21,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,8.0,27.8
13,Gabriele,Norcross,M,38,1955-02-15,Developer I,Financial Services,High Net Worth,N,Yes,8.0,67.2
14,Rayshell,Kitteman,F,85,1983-03-25,Account Executive,Financial Services,Affluent Customer,N,No,6.0,39.1
15,Erroll,Radage,M,91,2000-07-13,Junior Executive,Manufacturing,Mass Customer,N,No,1.0,21.8
16,Harlin,Parr,M,38,1977-02-27,Media Manager IV,,Mass Customer,N,Yes,18.0,45.2
17,Heath,Faraday,M,57,1962-03-19,Sales Associate,,Affluent Customer,N,Yes,15.0,60.1
18,Marjie,Neasham,F,79,1967-07-06,Professor,,Affluent Customer,N,No,11.0,54.8
19,Sorcha,Keyson,F,76,2001-04-15,Geological Engineer,Manufacturing,High Net Worth,N,No,1.0,21.0
20,Basile,Firth,M,72,1980-08-13,Project Manager,Manufacturing,Mass Customer,N,No,11.0,41.7
21,Mile,Cammocke,M,74,1980-09-20,Safety Technician I,Manufacturing,Affluent Customer,N,Yes,16.0,41.6
22,Deeanne,Durtnell,F,79,1962-12-10,,IT,Mass Customer,N,No,11.0,59.4
23,Olav,Polak,M,43,1995-02-10,,,High Net Worth,N,Yes,1.0,27.2
24,Kim,Skpsey,F,55,1977-12-03,Research Assistant I,Argiculture,Mass Customer,N,Yes,15.0,44.4
